Commands.GM.EchangeurNPC.Description:	Gestions des echangeurs (TextNPC)
Commands.GM.EchangeurNPC.Usage.Add:		add <nombre d'item> <ID de l'item a donner>' Ajoute un item que le pnj accepte
Commands.GM.EchangeurNPC.Usage.Remove:	remove <ID de l'item a donner>' Retire un item
Commands.GM.EchangeurNPC.Usage.Money:		money <ID de l'item a donner> <quantit�>' Echange de l'argent
Commands.GM.EchangeurNPC.Usage.XP:	xp <ID de l'item a donner> <quantit�>' Mettre une quantit� n�gative pour un pourmille (xp/1000) suivant le niveau du joueur
Commands.GM.EchangeurNPC.Usage.Item:		item <ID de l'item a donner> <nombre d'item final> <ID de l'item final>' Echange des objets
Commands.GM.EchangeurNPC.Usage.Info:	info' affiche les infos de l'�changeur
Commands.GM.EchangeurNPC.Usage.Pricemoney:		pricemoney <ID de l'item a donner> <gold>' D�finit la valeur en <gold> pour valider l'�change
Commands.GM.EchangeurNPC.Usage.Priceressource1:	priceressource1 <ID de l'item a donner> <item_id> <nombre>' D�finit l'objet requis par son <item_id> et le <nombre> requis pour la ressource 1
Commands.GM.EchangeurNPC.Usage.Priceressource2:		priceressource2 <ID de l'item a donner> <item_id> <nombre>' D�finit l'objet requis par son <item_id> et le <nombre> requis pour la ressource 2
Commands.GM.EchangeurNPC.Usage.Priceressource3:	priceressource3 <ID de l'item a donner> <item_id> <nombre>' D�finit l'objet requis par son <item_id> et le <nombre> requis pour la ressource 3
Commands.GM.EchangeurNPC.Usage.Priceressource:		priceressource remove <1|2|3> <ID de l'item a donner>' Supprime la condition de Price Ressource num�ro <1|2|3> pour l'item � donner.
Commands.GM.EchangeurNPC.Usage.AdditionalDescription:	Pour la r�ponse, ajoutez une r�ponse avec l'ID de l'item � donner grace aux commandes des textnpc
